# Report

name | result
-----|-------
[th06::AsciiManager::AsciiManager](#user-content-th06____asciimanager____asciimanager) | 74.43%
[th06::AsciiManager::OnUpdate](#user-content-th06____asciimanager____onupdate) | 99.12%
th06::AsciiManager::OnDrawMenus | 100.00%
[th06::AsciiManager::OnDrawPopups](#user-content-th06____asciimanager____ondrawpopups) | 98.89%
[th06::AsciiManager::RegisterChain](#user-content-th06____asciimanager____registerchain) | 70.48%
[th06::AsciiManager::AddedCallback](#user-content-th06____asciimanager____addedcallback) | 98.34%
[th06::AsciiManager::InitializeVms](#user-content-th06____asciimanager____initializevms) | 99.59%
[th06::AsciiManager::DeletedCallback](#user-content-th06____asciimanager____deletedcallback) | 97.17%
[th06::AsciiManager::CutChain](#user-content-th06____asciimanager____cutchain) | 92.39%
[th06::AsciiManager::AddString](#user-content-th06____asciimanager____addstring) | 97.93%
[th06::AsciiManager::AddFormatText](#user-content-th06____asciimanager____addformattext) | 99.65%
th06::AsciiManager::CreatePopup1 | 100.00%
th06::AsciiManager::CreatePopup2 | 100.00%
[th06::AsciiManager::DrawStrings](#user-content-th06____asciimanager____drawstrings) | 95.70%
[th06::AsciiManager::DrawPopupsWithHwVertexProcessing](#user-content-th06____asciimanager____drawpopupswithhwvertexprocessing) | 98.10%
[th06::AsciiManager::DrawPopupsWithoutHwVertexProcessing](#user-content-th06____asciimanager____drawpopupswithouthwvertexprocessing) | 98.10%
th06::ZunTimer::Initialize | 100.00%
[th06::ZunTimer::Increment](#user-content-th06____zuntimer____increment) | 99.00%
[th06::ZunTimer::Decrement](#user-content-th06____zuntimer____decrement) | 98.93%
[th06::ZunTimer::NextTick](#user-content-th06____zuntimer____nexttick) | 61.89%
[th06::AnmVm::AnmVm](#user-content-th06____anmvm____anmvm) | 7.18%
th06::AnmVm::Initialize | 100.00%
[th06::AnmManager::AnmManager](#user-content-th06____anmmanager____anmmanager) | 44.91%
[th06::AnmManager::CopySurfaceToBackBuffer](#user-content-th06____anmmanager____copysurfacetobackbuffer) | 98.80%
[th06::AnmManager::DrawEndingRect](#user-content-th06____anmmanager____drawendingrect) | 98.76%
[th06::AnmManager::CreateEmptyTexture](#user-content-th06____anmmanager____createemptytexture) | 85.90%
[th06::AnmManager::ExecuteScript](#user-content-th06____anmmanager____executescript) | 98.16%
th06::AnmManager::DrawTextToSprite | 100.00%
[th06::AnmManager::DrawVmTextFmt](#user-content-th06____anmmanager____drawvmtextfmt) | 99.86%
[th06::AnmManager::DrawStringFormat](#user-content-th06____anmmanager____drawstringformat) | 99.84%
[th06::AnmManager::DrawStringFormat2](#user-content-th06____anmmanager____drawstringformat2) | 99.82%
[th06::AnmManager::DrawInner](#user-content-th06____anmmanager____drawinner) | 69.67%
[th06::AnmManager::DrawNoRotation](#user-content-th06____anmmanager____drawnorotation) | 66.53%
[th06::AnmManager::Draw](#user-content-th06____anmmanager____draw) | 88.79%
[th06::AnmManager::Draw2](#user-content-th06____anmmanager____draw2) | 97.51%
[th06::AnmManager::Draw3](#user-content-th06____anmmanager____draw3) | 97.00%
[th06::AnmManager::DrawFacingCamera](#user-content-th06____anmmanager____drawfacingcamera) | 66.53%
[th06::AnmManager::LoadAnm](#user-content-th06____anmmanager____loadanm) | 99.83%
